      0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
      0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062
      0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123     0.123
      0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184     0.184
      0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244     0.244
      0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303     0.303
      0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361     0.361
      0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418     0.418
      0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473     0.473
      0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526     0.526
